10	600	10	3	10	30	20	20	0	10	0	20	0	50	10	15	5	20	0	50	50	50	20	5	50	20	30	40	10	30	50	10	5	700	10	10	20	20	10	50	40	30	20	10	50	0	0	180	5	10	0	5	10	10	0	5	0	0	0	20	50	15	10	0	20	10	10	150	10	10	0	5	20	100	20	70	50	10	0	20
0	500	25	8	0	30	5	40	20	20	50	20	20	0	10	10	5	30	0	30	40	10	0	8	100	50	150	40	20	10	10	10	3	400	60	100	20	15	10	50	0	0	5	0	50	0	15	60	10	0	40	20	10	1	0	15	20	20	0	40	20	20	20	5	10	0	10	10	0	10	0	30	50	20	20	5	0	10	0	20
20	500	165	20	50	20	85	100	100	20	0	100	160	0	60	30	6	450	100	20	10	50	0	80	400	200	180	100	50	30	20	50	50	400	250	70	80	100	100	50	150	0	40	1050	100	200	0	280	50	20	70	0	100	100	0	50	350	50	0	0	100	50	200	0	100	0	35	150	5	50	200	0	300	75	100	0	0	100	10	10
100	700	180	10	30	30	10	40	100	0	50	30	80	50	50	10	5	0	10	50	20	50	0	50	50	50	70	50	70	10	30	0	0	600	50	50	80	60	10	70	100	50	100	0	200	50	0	190	10	0	40	30	100	10	200	2	50	10	75	30	150	25	10	40	100	0	20	20	5	20	100	20	100	150	200	80	20	50	10	80
50	600	40	5	30	50	20	50	10	40	0	30	10	0	20	25	4	200	0	200	10	40	0	10	100	20	90	70	0	30	30	20	10	500	60	50	90	80	0	100	60	0	30	300	50	100	0	80	10	0	70	0	50	10	0	2	20	50	0	0	200	5	100	10	50	20	20	50	5	50	70	10	200	75	100	50	10	100	0	20
100	500	30	5	50	80	30	50	30	30	50	80	160	0	60	5	10	50	30	10	90	20	5	100	0	40	20	50	20	100	30	10	5	1000	50	10	50	100	0	80	100	0	200	50	200	150	100	190	20	50	0	60	20	10	100	25	50	0	0	30	50	30	20	0	100	0	0	100	20	0	0	25	0	50	250	0	0	0	0	100
50	500	80	150	100	120	120	70	50	30	20	60	120	0	20	25	7	100	60	150	70	50	0	100	350	450	160	80	20	50	50	50	0	400	10	300	90	100	50	100	100	0	80	100	300	100	0	280	15	25	70	45	150	25	100	20	0	0	75	50	300	100	150	100	50	150	20	70	5	100	250	35	100	150	50	150	10	200	10	80
20	500	35	30	20	50	130	60	100	20	0	50	10	0	10	30	4	200	30	40	15	200	20	150	150	200	150	50	40	20	30	100	50	400	90	100	50	80	50	50	120	0	100	300	100	0	150	100	30	30	10	40	20	10	0	5	100	100	0	20	50	80	50	30	50	100	50	50	5	20	0	0	200	25	100	0	0	140	0	70
20	600	80	0	180	100	25	60	100	50	10	30	100	0	5	10	3	70	30	50	40	100	20	50	50	100	20	10	150	20	0	50	0	500	60	10	30	100	30	20	50	0	45	50	50	0	20	200	30	10	140	5	10	10	50	40	140	10	150	60	100	65	40	20	50	50	5	50	50	100	70	0	200	20	0	0	20	75	10	50
50	500	20	60	10	75	30	50	50	180	10	60	10	200	20	15	2	100	100	20	10	30	30	30	0	100	150	66	30	10	50	0	2	700	90	0	60	35	0	100	50	50	40	40	100	0	400	250	15	20	100	30	150	5	0	15	50	5	0	30	100	40	1	10	20	0	0	150	40	5	30	15	0	20	200	35	50	50	10	80
50	600	10	70	70	80	75	70	80	50	75	50	100	100	40	15	6	350	40	50	90	5	0	30	150	100	130	60	10	50	20	0	14	600	180	110	40	70	50	60	100	0	50	40	200	0	0	290	20	50	20	50	50	3	50	10	50	20	30	90	250	80	20	30	50	50	20	50	30	100	20	10	65	50	200	95	0	50	5	50
30	700	10	30	20	25	100	80	30	20	100	70	50	200	20	25	3	0	0	100	50	100	10	20	300	80	80	50	0	50	60	20	20	700	180	20	40	200	20	100	20	80	70	50	200	0	600	300	50	10	200	50	100	20	150	60	140	100	150	90	200	50	100	30	0	0	30	100	10	150	0	35	150	150	250	50	50	200	200	80
100	700	100	50	90	40	200	80	60	200	100	100	100	50	30	15	20	300	0	150	10	100	20	50	100	40	150	50	50	20	40	0	0	800	10	130	80	400	100	50	60	80	100	200	100	0	0	150	50	20	400	0	100	10	200	50	0	200	30	80	150	100	100	40	0	0	20	0	10	200	200	100	50	150	200	0	200	0	0	50
50	600	30	70	10	100	100	50	20	170	0	100	60	200	100	10	6	200	40	100	0	50	30	30	100	300	200	60	70	10	10	0	10	700	120	50	50	50	0	100	100	0	50	200	100	70	60	450	20	10	70	40	150	5	200	20	70	50	0	40	50	40	50	30	150	0	40	70	40	20	100	35	50	90	200	0	50	100	20	100
50	600	150	100	70	100	80	90	200	200	100	100	200	0	40	30	9	500	100	100	0	100	10	200	300	300	150	60	40	50	60	50	80	700	160	100	100	300	20	120	200	80	100	250	200	100	100	250	30	40	210	30	150	10	150	60	150	200	100	60	300	80	100	50	50	50	65	150	100	120	150	50	150	100	500	60	50	150	20	100
